firstName,lastName,email,phoneNumber,password,specialty,role,hospital,createdAt,updatedAt
Dr.,Aaradhya Sharma,dr..aaradhya sharma@hospital.com,9012345678,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,Cardiology,Doctor,"['Fortis Hospital Rajajinagar, Bangalore', ""St. Martha's Hospital""]",2025-01-11T18:56:07.754224+00:00,2025-01-11T18:56:07.754397+00:00
Dr.,Adah Desai,dr..adah desai@hospital.com,9012345678,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,Cardiology,Doctor,"['The Bangalore Hospital', 'Apollo Spectra Hospitals']",2025-01-11T18:56:07.754410+00:00,2025-01-11T18:56:07.754412+00:00
Dr.,Adhira Patel,dr..adhira patel@hospital.com,9012345678,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,Cardiology,Doctor,"['The Bangalore Hospital', ""St Philomena's Hospital""]",2025-01-11T18:56:07.754417+00:00,2025-01-11T18:56:07.754419+00:00
Dr.,Amoli Jain,dr..amoli jain@hospital.com,9012345678,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,Cardiology,Doctor,"['Fortis Hospital Richmond Road', 'Santosh Hospital - Best Multispeciality Hospital in Bangalore']",2025-01-11T18:56:07.754422+00:00,2025-01-11T18:56:07.754423+00:00
Dr.,Anaisha Singh,dr..anaisha singh@hospital.com,9012345678,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,Cardiology,Doctor,"['Fortis Hospital Richmond Road', 'Cambridge Fertility']",2025-01-11T18:56:07.754427+00:00,2025-01-11T18:56:07.754428+00:00
Dr.,Ananya Khanna,dr..ananya khanna@hospital.com,9012345678,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,Cardiology,Doctor,"['Fortis Hospital Cunningham Road', 'Cambridge Fertility']",2025-01-11T18:56:07.754431+00:00,2025-01-11T18:56:07.754432+00:00
Dr.,Asmee Gupta,dr..asmee gupta@hospital.com,9012345678,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,Cardiology,Doctor,"['Fortis Hospital Cunningham Road', 'The Bangalore Hospital']",2025-01-11T18:56:07.754436+00:00,2025-01-11T18:56:07.754437+00:00
Dr.,Avni Roy,dr..avni roy@hospital.com,9012345678,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,Cardiology,Doctor,"['Fortis Hospital Richmond Road', 'Fortis Hospital Rajajinagar, Bangalore']",2025-01-11T18:56:07.754440+00:00,2025-01-11T18:56:07.754441+00:00
Dr.,Drishti Menon,dr..drishti menon@hospital.com,9012345678,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,Cardiology,Doctor,"[""St Philomena's Hospital"", ""St. Martha's Hospital""]",2025-01-11T18:56:07.754445+00:00,2025-01-11T18:56:07.754446+00:00
Dr.,Ela Iyer,dr..ela iyer@hospital.com,9012345678,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,Cardiology,Doctor,"['Manipal Hospitals Jayanagar', ""St Philomena's Hospital""]",2025-01-11T18:56:07.754449+00:00,2025-01-11T18:56:07.754450+00:00
Dr.,Eshika Joshi,dr..eshika joshi@hospital.com,9012345678,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,Cardiology,Doctor,"['Fortis Hospital Cunningham Road', 'Apollo Spectra Hospitals']",2025-01-11T18:56:07.754453+00:00,2025-01-11T18:56:07.754454+00:00
