firstName,lastName,email,phoneNumber,password,specialty,role,createdAt,updatedAt
Dr.,Arun Kumar,dr..arun kumar@hospital.com,9012345678,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,Cardiology,Doctor,2025-01-11T17:42:14.061304+00:00,2025-01-11T17:42:14.061477+00:00
Dr.,Ravi,dr..ravi@hospital.com,9012345678,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,Cardiology,Doctor,2025-01-11T17:42:14.061490+00:00,2025-01-11T17:42:14.061491+00:00
Dr.,Sanjay,dr..sanjay@hospital.com,9012345678,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,Cardiology,Doctor,2025-01-11T17:42:14.061497+00:00,2025-01-11T17:42:14.061498+00:00
Dr.,Praveen,dr..praveen@hospital.com,9012345678,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,Cardiology,Doctor,2025-01-11T17:42:14.061502+00:00,2025-01-11T17:42:14.061503+00:00
Dr.,Priya Verma,dr..priya verma@hospital.com,9012345678,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,Neurology,Doctor,2025-01-11T17:42:14.061507+00:00,2025-01-11T17:42:14.061508+00:00
Dr.,Rajesh Sharma,dr..rajesh sharma@hospital.com,9012345678,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,Neurology,Doctor,2025-01-11T17:42:14.061512+00:00,2025-01-11T17:42:14.061513+00:00
Dr.,Suman,dr..suman@hospital.com,9012345678,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,Neurology,Doctor,2025-01-11T17:42:14.061518+00:00,2025-01-11T17:42:14.061520+00:00
Dr.,Rahul,dr..rahul@hospital.com,9012345678,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,Neurology,Doctor,2025-01-11T17:42:14.061523+00:00,2025-01-11T17:42:14.061524+00:00
Dr.,Ramesh Kumar,dr..ramesh kumar@hospital.com,9012345678,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,Orthopedics,Doctor,2025-01-11T17:42:14.061527+00:00,2025-01-11T17:42:14.061528+00:00
Dr.,Shyam Sundar,dr..shyam sundar@hospital.com,9012345678,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,Orthopedics,Doctor,2025-01-11T17:42:14.061531+00:00,2025-01-11T17:42:14.061532+00:00
Dr.,Anil,dr..anil@hospital.com,9012345678,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,Orthopedics,Doctor,2025-01-11T17:42:14.061536+00:00,2025-01-11T17:42:14.061536+00:00
Dr.,Mohan,dr..mohan@hospital.com,9012345678,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,Orthopedics,Doctor,2025-01-11T17:42:14.061540+00:00,2025-01-11T17:42:14.061541+00:00
Dr.,Mahesh,dr..mahesh@hospital.com,9012345678,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,Gynaecology,Doctor,2025-01-11T17:42:14.061544+00:00,2025-01-11T17:42:14.061545+00:00
Dr.,Rekha Gupta,dr..rekha gupta@hospital.com,9012345678,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,Gynaecology,Doctor,2025-01-11T17:42:14.061548+00:00,2025-01-11T17:42:14.061549+00:00
